Image_No,Image_Name,Landslide,fallen_Tree,Struc_Damage,Garbage,Coverage,Visibility,Occlusion,Scene Context,Side,Distance
293,image_0293.jpg,0,1,0,0,2,2,3,2,1,2
294,image_0294.jpg,0,1,0,0,3,3,3,3,1,2
295,image_0295.jpg,0,1,0,0,2,3,3,1,1,1
296,image_0296.jpg,0,1,0,0,2,2,3,2,1,2
297,image_0297.jpg,1,0,0,0,2,2,3,1,1,1
298,image_0298.jpg,1,0,0,0,3,3,3,1,1,1
299,image_0299.jpg,0,1,0,0,3,2,3,2,1,2
300,image_0300.jpg,0,1,0,0,3,2,3,2,1,2
301,image_0301.jpg,1,1,0,0,2,1,3,2,0,2
302,image_0302.jpg,1,0,0,0,1,1,3,1,0,1
303,image_0303.jpg,1,0,0,0,1,1,3,2,0,2
304,image_0304.jpg,1,0,0,0,1,2,3,1,0,1
305,image_0305.jpg,1,0,0,0,1,1,3,1,0,0
306,image_0306.jpg,0,1,0,0,1,2,3,1,1,0
307,image_0307.jpg,1,1,0,0,1,2,3,1,0,0
308,image_0308.jpg,1,1,0,0,2,2,3,2,0,1
309,image_0309.jpg,1,1,0,0,2,3,3,1,0,0
310,image_0310.jpg,1,0,0,0,1,2,3,1,2,0
311,image_0311.jpg,1,0,0,0,1,2,3,1,2,1
312,image_0312.jpg,1,1,0,0,2,2,2,2,2,1
313,image_0313.jpg,1,1,0,0,2,2,2,1,2,0
314,image_0314.jpg,1,1,0,0,2,2,2,1,2,0
315,image_0315.jpg,1,1,0,0,2,2,2,1,2,0
316,image_0316.jpg,1,1,0,0,2,2,2,2,2,1
317,image_0317.jpg,1,1,0,0,2,2,2,2,2,1
318,image_0318.jpg,1,1,0,0,2,2,2,2,2,1
319,image_0319.jpg,1,0,0,0,1,1,3,1,2,1
320,image_0320.jpg,1,0,0,0,1,1,3,1,0,0
321,image_0321.jpg,1,0,0,0,1,1,3,1,0,0
322,image_0322.jpg,1,0,0,0,2,0,3,1,1,0
323,image_0323.jpg,1,0,0,0,3,0,3,2,1,2
324,image_0324.jpg,1,0,0,0,3,0,3,1,1,1
325,image_0325.jpg,1,0,0,0,3,2,3,2,1,0
326,image_0326.jpg,1,0,0,0,3,2,3,2,1,1
327,image_0327.jpg,1,0,0,0,3,2,3,1,1,0
328,image_0328.jpg,1,0,0,0,3,2,3,1,1,0
329,image_0329.jpg,0,1,0,0,3,1,3,2,1,2
330,image_0330.jpg,0,1,0,0,3,1,3,2,1,2
331,image_0331.jpg,0,1,0,0,3,1,3,2,1,2
332,image_0332.jpg,0,1,0,0,1,1,3,2,1,2
333,image_0333.jpg,0,1,0,0,3,2,3,2,1,2
334,image_0334.jpg,1,1,0,0,2,1,2,1,0,1
335,image_0335.jpg,1,1,0,0,2,1,2,1,0,2
336,image_0336.jpg,1,0,0,0,1,2,3,1,1,0
337,image_0337.jpg,1,0,0,0,2,2,3,1,1,0
338,image_0338.jpg,1,0,0,0,3,3,3,2,1,1
339,image_0339.jpg,1,0,0,0,1,1,3,0,1,0
340,image_0340.jpg,1,0,0,0,2,2,3,1,1,0
341,image_0341.jpg,1,0,0,0,2,2,3,1,1,0
342,image_0342.jpg,1,0,0,0,3,2,3,1,1,1
343,image_0343.jpg,1,0,0,0,3,2,3,1,1,0
344,image_0344.jpg,1,0,0,0,3,2,3,1,1,0
345,image_0345.jpg,1,0,0,0,3,2,3,1,1,0
346,image_0346.jpg,0,1,0,1,3,3,3,2,1,1
347,image_0347.jpg,1,1,1,1,3,3,3,2,1,1
348,image_0348.jpg,1,1,1,1,3,3,3,2,1,1
349,image_0349.jpg,1,1,1,1,3,3,3,2,1,1
350,image_0350.jpg,1,1,0,1,3,3,3,1,1,0
351,image_0351.jpg,1,1,1,1,3,3,3,2,1,1
352,image_0352.jpg,0,1,0,1,1,1,3,1,1,0
353,image_0353.jpg,1,1,1,1,3,3,3,2,1,1
354,image_0354.jpg,0,1,0,1,3,3,3,2,1,1
355,image_0355.jpg,0,1,0,1,1,1,3,1,1,0
356,image_0356.jpg,0,1,0,1,1,1,3,1,1,0
357,image_0357.jpg,1,1,1,1,3,2,3,1,1,1
358,image_0358.jpg,1,1,0,1,2,2,3,1,0,0
359,image_0359.jpg,1,1,0,1,3,3,3,1,0,1
360,image_0360.jpg,1,1,0,1,3,3,3,1,0,1
361,image_0361.jpg,1,1,0,1,3,3,3,1,0,1
362,image_0362.jpg,0,0,0,1,3,2,3,1,0,2
363,image_0363.jpg,0,0,0,1,3,2,3,1,0,2
364,image_0364.jpg,0,1,0,1,3,2,3,1,2,2
365,image_0365.jpg,0,1,0,1,3,2,3,1,2,2
366,image_0366.jpg,0,1,0,1,3,2,3,1,0,2
367,image_0367.jpg,0,1,0,1,2,2,3,1,1,1
368,image_0368.jpg,0,1,0,1,2,2,3,1,2,1
369,image_0369.jpg,0,1,0,1,2,2,3,1,2,1
370,image_0370.jpg,1,1,0,1,1,2,1,2,0,2
371,image_0371.jpg,1,1,0,1,1,2,1,2,0,2
372,image_0372.jpg,1,1,0,1,1,2,1,2,0,2
373,image_0373.jpg,0,0,1,1,2,2,1,1,2,2
374,image_0374.jpg,1,1,0,1,2,2,2,2,0,2
375,image_0375.jpg,1,1,0,1,2,2,2,2,0,2
376,image_0376.jpg,0,1,0,1,2,2,2,1,2,1
377,image_0377.jpg,0,1,0,1,2,2,2,1,0,1
378,image_0378.jpg,0,0,1,1,2,2,3,1,1,1
379,image_0379.jpg,0,0,1,1,3,2,2,2,1,2
380,image_0380.jpg,0,1,1,1,2,2,2,2,2,2
381,image_0381.jpg,0,1,0,1,2,2,2,1,0,2
382,image_0382.jpg,0,1,0,1,3,2,2,1,0,1
383,image_0383.jpg,0,0,0,1,2,3,3,1,1,1
384,image_0384.jpg,0,1,0,1,2,2,2,1,2,1
385,image_0385.jpg,0,1,0,1,2,2,2,2,2,1
386,image_0386.jpg,0,1,0,1,1,2,2,1,2,1
387,image_0387.jpg,0,1,0,1,3,2,3,1,0,2
388,image_0388.jpg,0,1,0,1,3,2,3,1,0,2
389,image_0389.jpg,1,1,1,1,2,2,1,1,0,2
390,image_0390.jpg,1,1,0,0,2,3,3,1,1,0
391,image_0391.jpg,1,1,0,0,3,3,3,2,1,1
392,image_0392.jpg,1,1,0,0,3,3,3,2,1,1
393,image_0393.jpg,1,1,0,0,3,3,3,2,1,2
394,image_0394.jpg,1,1,0,0,3,3,3,2,1,1
395,image_0395.jpg,1,1,0,0,3,3,3,2,1,1
396,image_0396.jpg,1,1,0,0,3,3,3,2,1,1
397,image_0397.jpg,1,1,0,0,3,3,3,2,1,1
398,image_0398.jpg,1,1,0,0,2,3,3,1,0,0
399,image_0399.jpg,1,1,0,0,3,3,3,2,0,2
400,image_0400.jpg,1,1,0,0,2,3,3,1,1,0
401,image_0401.jpg,1,1,0,0,2,3,3,1,1,0
402,image_0402.jpg,0,1,0,0,3,3,3,2,1,1
403,image_0403.jpg,0,1,0,0,3,3,3,3,1,2
404,image_0404.jpg,0,1,0,0,2,3,3,1,1,0
405,image_0405.jpg,1,1,0,0,3,3,3,2,1,1
406,image_0406.jpg,1,1,0,0,2,3,3,1,1,0
407,image_0407.jpg,1,1,0,0,2,3,3,1,1,0
408,image_0408.jpg,1,1,0,0,2,3,3,1,0,0
409,image_0409.jpg,1,1,0,0,1,3,3,1,0,0
410,image_0410.jpg,1,1,0,0,2,3,3,2,1,1
411,image_0411.jpg,1,1,0,0,3,3,3,2,0,1
412,image_0412.jpg,1,1,0,0,3,3,3,3,0,2
413,image_0413.jpg,1,1,0,0,3,3,3,2,0,1
414,image_0414.jpg,1,1,0,0,1,3,3,1,1,0
415,image_0415.jpg,1,1,0,0,1,3,3,1,1,0
416,image_0416.jpg,1,1,0,0,1,3,3,1,1,0
417,image_0417.jpg,1,1,0,0,3,3,3,2,0,1
418,image_0418.jpg,1,1,0,0,3,3,3,3,0,2
419,image_0419.jpg,0,1,0,1,3,3,3,2,0,1
420,image_0420.jpg,0,1,0,1,3,3,3,2,0,1
421,image_0421.jpg,0,1,0,1,2,3,3,1,0,1
422,image_0422.jpg,0,1,0,1,1,3,3,1,0,0
423,image_0423.jpg,0,1,0,1,2,1,3,1,2,0
424,image_0424.jpg,0,1,0,1,2,1,3,1,1,0
425,image_0425.jpg,0,1,0,1,2,3,3,1,0,1
426,image_0426.jpg,0,1,0,1,2,3,3,1,1,0
427,image_0427.jpg,0,1,0,1,3,3,3,2,1,1
428,image_0428.jpg,0,1,0,1,2,3,3,1,1,0
429,image_0429.jpg,0,1,0,1,2,1,3,1,1,1
430,image_0430.jpg,0,1,0,1,2,2,3,2,1,2
431,image_0431.jpg,0,1,0,1,2,2,2,1,0,2
432,image_0432.jpg,0,1,0,1,2,2,3,1,0,1
433,image_0433.jpg,0,1,0,1,2,3,3,1,0,1
434,image_0434.jpg,0,1,0,1,2,3,3,1,0,1
435,image_0435.jpg,0,1,0,1,2,1,3,1,2,1
436,image_0436.jpg,0,1,0,1,2,1,3,2,2,2
437,image_0437.jpg,1,1,0,0,3,3,1,2,1,1
438,image_0438.jpg,1,1,0,0,3,3,1,1,1,1
439,image_0439.jpg,1,1,0,1,2,3,2,2,1,1
440,image_0440.jpg,1,1,0,1,2,3,3,1,0,1
441,image_0441.jpg,1,0,0,0,1,3,3,2,2,1
442,image_0442.jpg,1,0,0,0,2,3,3,2,2,0
443,image_0443.jpg,0,1,1,1,2,2,2,1,1,2
444,image_0444.jpg,1,0,0,0,3,3,3,2,1,2
445,image_0445.jpg,0,1,0,1,2,1,3,3,0,2
446,image_0446.jpg,0,1,0,1,3,1,3,3,0,2
447,image_0447.jpg,1,1,0,0,1,1,1,2,2,2
