Image_Num,Name,Visibility,Quality,Blur,Brightness,Noise,Contrast,Compression,Sharpness,Exposure,Quality score
37,image_0037.jpg,1,1,1,1,1,1,1,1,1,
38,image_0038.jpg,0,1,1,1,1,1,1,1,1,
39,image_0039.jpg,1,1,1,1,1,1,1,1,1,
40,image_0040.jpg,1,1,1,3,1,1,1,1,1,
41,image_0041.jpg,0,1,1,1,1,1,1,1,1,
42,image_0042.jpg,0,1,1,1,1,1,1,1,1,
43,image_0043.jpg,0,1,1,1,1,1,1,1,1,
44,image_0044.jpg,0,1,1,1,1,1,1,1,1,
45,image_0045.jpg,0,1,1,1,1,1,1,1,1,
46,image_0046.jpg,1,1,1,1,1,1,1,1,1,
47,image_0047.jpg,1,1,1,1,1,1,1,1,1,
48,image_0048.jpg,0,1,1,1,1,1,1,1,1,
49,image_0049.jpg,0,1,1,1,1,1,1,1,1,
50,image_0050.jpg,0,1,1,1,1,1,1,1,1,
51,image_0051.jpg,0,1,1,1,1,1,1,1,1,
52,image_0052.jpg,1,1,1,3,1,1,1,1,1,
53,image_0053.jpg,0,1,1,1,1,1,1,1,1,
54,image_0054.jpg,0,1,1,1,1,1,1,1,1,
55,image_0055.jpg,0,1,1,1,1,1,1,1,1,
56,image_0056.jpg,1,1,1,1,1,1,1,1,1,
57,image_0057.jpg,0,1,1,1,1,1,1,1,1,
58,image_0058.jpg,0,1,1,1,1,1,1,1,1,
59,image_0059.jpg,0,1,1,1,1,1,1,1,1,
60,image_0060.jpg,0,0,1,1,1,1,1,1,1,
61,image_0061.jpg,0,0,1,1,1,1,1,1,1,
62,image_0062.jpg,0,1,1,1,1,1,1,1,1,
63,image_0063.jpg,0,1,1,1,1,1,1,1,1,
64,image_0064.jpg,0,1,1,1,1,1,1,1,1,
65,image_0065.jpg,0,1,1,1,1,1,1,1,1,
66,image_0066.jpg,0,1,1,1,1,1,1,1,1,
67,image_0067.jpg,0,1,1,1,1,1,1,1,1,
68,image_0068.jpg,1,1,1,1,1,1,1,1,1,
69,image_0069.jpg,0,1,1,1,1,1,1,1,1,
70,image_0070.jpg,0,1,1,1,1,1,1,1,1,
71,image_0071.jpg,0,1,1,1,1,1,1,1,1,
72,image_0072.jpg,0,1,1,1,1,1,1,1,1,
73,image_0073.jpg,0,1,1,1,1,1,1,1,1,
74,image_0074.jpg,0,1,1,1,1,1,1,1,1,
75,image_0075.jpg,0,1,1,1,1,1,1,1,1,
76,image_0076.jpg,1,1,1,1,1,1,1,1,1,
77,image_0077.jpg,0,1,1,1,1,1,1,1,1,
78,image_0078.jpg,1,1,1,1,2,1,1,1,1,
79,image_0079.jpg,1,1,1,1,1,1,1,1,1,
80,image_0080.jpg,0,1,1,1,2,1,1,1,1,
81,image_0081.jpg,0,1,1,1,1,1,1,1,1,
82,image_0082.jpg,0,1,1,1,1,1,1,1,1,
83,image_0083.jpg,0,1,1,1,1,1,1,1,1,
84,image_0084.jpg,0,1,1,1,1,1,1,1,1,
85,image_0085.jpg,0,1,1,1,1,1,1,1,1,
86,image_0086.jpg,0,1,1,1,2,1,1,1,1,
87,image_0087.jpg,0,1,1,1,2,1,1,1,1,
88,image_0088.jpg,0,1,1,1,1,1,1,1,1,
89,image_0089.jpg,0,1,1,1,2,1,1,1,1,
90,image_0090.jpg,0,1,1,1,1,1,1,1,1,
91,image_0091.jpg,0,1,1,1,1,1,1,1,1,
92,image_0092.jpg,0,1,1,1,1,1,1,1,1,
93,image_0093.jpg,0,1,1,1,1,1,1,1,1,
94,image_0094.jpg,0,1,1,1,1,1,1,1,1,
95,image_0095.jpg,0,1,1,1,1,1,1,1,1,
96,image_0096.jpg,0,1,1,1,1,1,1,1,1,
97,image_0097.jpg,0,1,1,1,1,1,1,1,1,
98,image_0098.jpg,0,1,1,1,1,1,1,1,1,
99,image_0099.jpg,0,1,1,1,1,1,1,1,1,
100,image_0100.jpg,0,1,1,1,1,1,1,1,1,
101,image_0101.jpg,0,0,1,1,1,1,1,1,1,
102,image_0102.jpg,0,1,1,1,1,1,1,1,1,
103,image_0103.jpg,0,0,1,1,1,1,1,1,1,
104,image_0104.jpg,0,1,1,1,2,1,1,1,1,
105,image_0105.jpg,0,1,1,1,1,1,1,1,1,
106,image_0106.jpg,0,1,1,1,1,1,1,1,1,
107,image_0107.jpg,0,1,1,1,1,1,1,1,1,
108,image_0108.jpg,0,1,1,1,1,1,1,1,1,
109,image_0109.jpg,0,0,1,1,1,1,1,1,1,
110,image_0110.jpg,0,1,1,1,1,1,1,1,1,
111,image_0111.jpg,0,1,1,1,1,1,1,1,1,
112,image_0112.jpg,1,1,1,1,1,1,1,1,1,
113,image_0113.jpg,0,1,1,1,1,1,1,1,1,
114,image_0114.jpg,0,1,1,1,1,1,1,1,1,
115,image_0115.jpg,0,1,1,1,2,1,1,1,1,
116,image_0116.jpg,1,1,1,1,1,1,1,1,1,
117,image_0117.jpg,1,0,1,3,1,1,1,1,1,
118,image_0118.jpg,0,1,1,1,1,1,1,1,1,
119,image_0119.jpg,1,1,1,1,2,1,1,1,1,
120,image_0120.jpg,1,0,1,3,1,1,1,1,1,
121,image_0121.jpg,0,1,1,1,1,1,1,1,1,
122,image_0122.jpg,1,1,1,1,1,1,1,1,1,
123,image_0123.jpg,1,1,1,1,1,1,1,1,1,
124,image_0124.jpg,1,1,1,1,1,1,1,1,1,
125,image_0125.jpg,1,0,1,1,1,1,1,1,1,
126,image_0126.jpg,0,1,1,1,1,1,1,1,1,
127,image_0127.jpg,0,0,1,3,1,1,1,1,1,
128,image_0128.jpg,1,1,1,1,2,1,1,1,1,
129,image_0129.jpg,0,1,1,1,1,1,1,1,1,
130,image_0130.jpg,1,1,1,1,1,1,1,1,1,
131,image_0131.jpg,0,1,1,1,1,1,1,1,1,
132,image_0132.jpg,1,1,1,1,2,1,1,1,1,
133,image_0133.jpg,0,1,1,1,1,1,1,1,1,
134,image_0134.jpg,1,0,1,3,1,1,1,1,1,
135,image_0135.jpg,0,1,1,1,1,1,1,1,1,
136,image_0136.jpg,0,0,1,1,1,1,1,1,1,
137,image_0137.jpg,0,1,1,1,1,1,1,1,1,
138,image_0138.jpg,0,1,1,1,1,1,1,1,1,
139,image_0139.jpg,1,1,1,1,1,1,1,1,1,
140,image_0140.jpg,1,1,1,1,1,1,1,1,1,
141,image_0141.jpg,1,1,1,1,1,1,1,1,1,
142,image_0142.jpg,1,1,1,1,1,1,1,1,1,
143,image_0143.jpg,1,1,1,1,1,1,1,1,1,
144,image_0144.jpg,1,1,1,1,2,1,1,1,1,
145,image_0145.jpg,1,1,1,1,1,1,1,1,1,
146,image_0146.jpg,0,1,1,1,1,1,1,1,1,
147,image_0147.jpg,0,1,1,1,1,1,1,1,1,
148,image_0148.jpg,1,1,1,1,1,1,1,1,1,
149,image_0149.jpg,0,1,1,1,1,1,1,1,1,
150,image_0150.jpg,0,1,1,1,1,1,1,1,1,
151,image_0151.jpg,0,1,1,1,1,1,1,1,1,
152,image_0152.jpg,0,1,1,1,2,1,1,1,1,
153,image_0153.jpg,0,1,1,1,1,1,1,1,1,
154,image_0154.jpg,0,1,1,1,1,1,1,1,1,
155,image_0155.jpg,0,1,1,1,1,1,1,1,1,
156,image_0156.jpg,0,1,1,1,1,1,1,1,1,
157,image_0157.jpg,0,1,1,1,1,1,1,1,1,
158,image_0158.jpg,0,1,1,1,2,1,1,1,1,
159,image_0159.jpg,0,1,1,1,1,1,1,1,1,
160,image_0160.jpg,0,1,1,1,1,1,1,1,1,
161,image_0161.jpg,1,1,1,1,1,1,1,1,1,
162,image_0162.jpg,1,1,1,1,1,1,1,1,1,
163,image_0163.jpg,0,1,1,1,1,1,1,1,1,
164,image_0164.jpg,1,1,1,1,2,1,1,1,1,
165,image_0165.jpg,1,1,1,1,1,1,1,1,1,
166,image_0166.jpg,0,1,1,1,1,1,1,1,1,
167,image_0167.jpg,1,1,1,1,1,1,1,1,1,
168,image_0168.jpg,1,0,1,1,1,1,1,1,1,
169,image_0169.jpg,1,0,1,1,1,1,1,1,1,
170,image_0170.jpg,1,1,1,1,1,1,1,1,1,
171,image_0171.jpg,1,0,1,1,1,1,1,1,1,
172,image_0172.jpg,1,0,1,1,1,1,1,1,1,
173,image_0173.jpg,1,0,1,1,1,1,1,2,1,
174,image_0174.jpg,1,1,1,1,1,1,1,1,1,
175,image_0175.jpg,1,0,1,1,1,1,1,1,1,
176,image_0176.jpg,1,0,1,1,1,1,1,1,1,
177,image_0177.jpg,0,1,1,1,1,1,1,1,1,
178,image_0178.jpg,1,1,1,1,2,1,1,1,1,
179,image_0179.jpg,0,1,1,1,1,1,1,1,1,
180,image_0180.jpg,1,1,1,1,1,1,1,1,1,
181,image_0181.jpg,0,1,1,1,1,1,1,1,1,
182,image_0182.jpg,0,1,1,1,1,1,1,1,1,
183,image_0183.jpg,1,1,1,1,1,1,1,1,1,
184,image_0184.jpg,1,1,1,1,2,1,1,1,1,
185,image_0185.jpg,0,1,1,1,1,1,1,1,1,
186,image_0186.jpg,1,1,1,1,1,1,1,1,1,
187,image_0187.jpg,1,1,1,1,1,1,1,1,1,
188,image_0188.jpg,1,1,1,1,1,1,1,1,1,
189,image_0189.jpg,0,1,1,1,1,1,1,1,1,
190,image_0190.jpg,1,1,1,1,1,1,1,1,1,
191,image_0191.jpg,0,1,1,1,1,1,1,1,1,
192,image_0192.jpg,1,1,1,1,1,1,1,1,1,
193,image_0193.jpg,0,1,1,1,2,1,1,1,1,
194,image_0194.jpg,0,1,1,1,1,1,1,1,1,
195,image_0195.jpg,0,1,1,1,1,1,1,1,1,
196,image_0196.jpg,0,1,1,1,1,1,1,1,1,
197,image_0197.jpg,0,1,1,1,1,1,1,1,1,
198,image_0198.jpg,1,1,1,1,1,1,1,1,1,
199,image_0199.jpg,1,0,1,1,1,1,1,3,1,
200,image_0200.jpg,0,1,1,1,1,1,1,1,1,
201,image_0201.jpg,0,0,1,1,1,1,1,1,1,
202,image_0202.jpg,0,0,1,1,1,1,1,1,1,
203,image_0203.jpg,0,0,1,1,1,1,1,1,1,
204,image_0204.jpg,0,1,1,1,1,1,1,1,1,
205,image_0205.jpg,0,1,1,1,1,1,1,1,1,
206,image_0206.jpg,0,1,1,1,1,1,1,1,1,
207,image_0207.jpg,0,0,1,1,1,1,1,1,1,
208,image_0208.jpg,0,1,1,1,1,1,1,1,1,
209,image_0209.jpg,0,1,1,1,1,1,1,1,1,
210,image_0210.jpg,0,0,1,1,1,1,1,2,1,
211,image_0211.jpg,0,1,1,1,1,1,1,1,1,
212,image_0212.jpg,0,1,1,1,1,1,1,1,1,
213,image_0213.jpg,0,1,1,1,1,1,1,1,1,
214,image_0214.jpg,0,0,1,2,1,1,1,1,1,
215,image_0215.jpg,0,0,1,2,1,1,1,4,1,
216,image_0216.jpg,0,1,1,1,1,1,1,1,1,
217,image_0217.jpg,0,1,1,1,1,1,1,1,1,
218,image_0218.jpg,0,0,1,1,1,1,1,1,1,
219,image_0219.jpg,0,1,1,1,1,1,1,1,1,
220,image_0220.jpg,0,1,1,1,1,1,1,1,1,
221,image_0221.jpg,0,1,1,1,1,1,1,1,1,
222,image_0222.jpg,0,1,1,1,1,1,1,1,1,
223,image_0223.jpg,0,0,1,1,1,1,1,1,1,
224,image_0224.jpg,0,1,1,1,1,1,1,1,1,
225,image_0225.jpg,0,1,1,1,1,1,1,1,1,
226,image_0226.jpg,0,0,1,1,1,1,1,1,1,
227,image_0227.jpg,0,1,1,1,1,1,1,1,1,
228,image_0228.jpg,0,1,1,1,1,1,1,1,1,
229,image_0229.jpg,0,1,1,1,1,1,1,1,1,
230,image_0230.jpg,1,1,1,1,1,1,1,1,1,
231,image_0231.jpg,1,1,1,1,1,1,1,1,1,
232,image_0232.jpg,1,1,1,1,1,1,1,1,1,
233,image_0233.jpg,1,1,1,1,1,1,1,1,1,
234,image_0234.jpg,1,0,1,1,1,1,1,1,1,
235,image_0235.jpg,1,0,1,1,1,1,1,1,1,
236,image_0236.jpg,0,0,1,1,1,1,1,1,1,
237,image_0237.jpg,1,1,1,1,1,1,1,1,1,
238,image_0238.jpg,1,1,1,1,1,1,1,1,1,
239,image_0239.jpg,1,1,1,1,1,1,1,1,1,
240,image_0240.jpg,0,1,1,1,1,1,1,1,1,
241,image_0241.jpg,0,1,1,3,1,1,1,1,1,
242,image_0242.jpg,0,1,1,3,1,1,1,1,1,
243,image_0243.jpg,0,1,1,1,1,1,1,1,1,
244,image_0244.jpg,0,1,1,1,1,1,1,1,1,
245,image_0245.jpg,0,1,1,1,1,1,1,1,1,
246,image_0246.jpg,0,1,1,1,1,1,1,1,1,
247,image_0247.jpg,0,1,1,1,1,1,1,1,1,
248,image_0248.jpg,1,1,1,1,1,1,1,1,1,
249,image_0249.jpg,0,1,1,1,1,1,1,1,1,
250,image_0250.jpg,0,0,1,1,1,1,1,1,1,
251,image_0251.jpg,0,0,1,1,1,1,1,1,1,
252,image_0252.jpg,1,1,1,1,1,1,1,1,1,
253,image_0253.jpg,0,1,1,1,1,1,1,1,1,
254,image_0254.jpg,0,1,1,1,1,1,1,1,1,
255,image_0255.jpg,1,1,1,3,1,1,1,1,1,
256,image_0256.jpg,0,1,1,1,1,1,1,1,1,
257,image_0257.jpg,1,0,1,1,1,1,1,1,1,
258,image_0258.jpg,0,1,1,1,1,1,1,1,1,
259,image_0259.jpg,1,1,1,3,1,1,1,1,1,
260,image_0260.jpg,1,0,1,3,1,1,1,1,1,
261,image_0261.jpg,1,1,1,1,1,1,1,1,1,
262,image_0262.jpg,0,1,1,1,1,1,1,1,1,
263,image_0263.jpg,0,1,1,3,1,1,1,1,1,
264,image_0264.jpg,0,1,1,1,1,1,1,1,1,
265,image_0265.jpg,0,0,1,1,1,1,1,1,1,
266,image_0266.jpg,1,1,1,1,1,1,1,1,1,
267,image_0267.jpg,1,1,1,1,1,1,1,1,1,
268,image_0268.jpg,1,1,1,1,1,1,1,1,1,
269,image_0269.jpg,0,1,1,1,1,1,1,1,1,
270,image_0270.jpg,0,1,1,1,1,1,1,1,1,
271,image_0271.jpg,0,1,1,1,1,1,1,1,1,
272,image_0272.jpg,0,1,1,1,1,1,1,1,1,
273,image_0273.jpg,0,1,1,1,1,1,1,1,1,
274,image_0274.jpg,0,1,1,1,1,1,1,1,1,
275,image_0275.jpg,0,1,1,1,1,1,1,1,1,
276,image_0276.jpg,0,1,1,1,1,1,1,1,1,
277,image_0277.jpg,0,1,1,1,1,1,1,1,1,
278,image_0278.jpg,0,1,1,1,1,1,1,1,1,
279,image_0279.jpg,0,1,1,1,1,1,1,1,1,
280,image_0280.jpg,0,1,1,1,1,1,1,1,1,
281,image_0281.jpg,0,1,1,1,1,1,1,1,1,
282,image_0282.jpg,0,1,1,3,1,1,1,1,1,
283,image_0283.jpg,0,1,1,3,1,1,1,1,1,
284,image_0284.jpg,0,1,1,1,1,1,1,1,1,
285,image_0285.jpg,0,0,1,1,1,1,1,1,1,
286,image_0286.jpg,0,0,1,1,1,1,1,1,1,
287,image_0287.jpg,0,0,1,1,1,1,1,1,1,
288,image_0288.jpg,1,0,1,1,1,1,1,1,1,
289,image_0289.jpg,0,0,1,1,1,1,1,1,1,
290,image_0290.jpg,1,0,1,1,1,1,1,1,1,
291,image_0291.jpg,1,0,1,1,1,1,1,1,1,
292,image_0292.jpg,1,0,1,1,1,1,1,1,1,
293,image_0293.jpg,0,0,1,3,1,1,1,1,1,
294,image_0294.jpg,0,0,1,3,1,1,1,1,1,
295,image_0295.jpg,0,0,1,3,1,1,1,1,1,
296,image_0296.jpg,0,0,1,3,1,1,1,1,1,
297,image_0297.jpg,0,1,1,1,1,1,1,1,1,
298,image_0298.jpg,0,0,1,3,1,1,1,1,1,
299,image_0299.jpg,0,1,1,3,1,1,1,1,1,
300,image_0300.jpg,0,0,1,3,1,1,1,1,1,
301,image_0301.jpg,1,1,1,1,1,1,1,1,1,
302,image_0302.jpg,0,0,1,1,1,1,1,1,1,
303,image_0303.jpg,1,1,1,1,1,1,1,1,1,
304,image_0304.jpg,1,1,1,1,1,1,1,1,1,
305,image_0305.jpg,0,1,1,1,1,1,1,1,1,
306,image_0306.jpg,0,1,1,1,1,1,1,1,1,
307,image_0307.jpg,0,1,1,1,1,1,1,1,1,
308,image_0308.jpg,1,1,1,1,1,1,1,2,1,
309,image_0309.jpg,1,1,1,1,1,1,1,1,1,
310,image_0310.jpg,1,1,1,1,1,1,1,1,1,
311,image_0311.jpg,0,1,1,1,1,1,1,1,1,
312,image_0312.jpg,1,0,1,1,1,1,1,3,1,
313,image_0313.jpg,1,1,1,1,1,1,1,2,1,
314,image_0314.jpg,0,1,1,1,1,1,1,1,1,
315,image_0315.jpg,1,1,1,1,1,1,1,1,1,
316,image_0316.jpg,0,1,1,1,1,1,1,1,1,
317,image_0317.jpg,0,1,1,1,1,1,1,1,1,
318,image_0318.jpg,0,1,1,3,1,1,1,1,1,
319,image_0319.jpg,0,1,1,1,1,1,1,1,1,
320,image_0320.jpg,1,0,1,1,1,1,1,2,1,
321,image_0321.jpg,1,0,1,1,1,1,1,2,1,
322,image_0322.jpg,0,1,1,1,1,1,1,1,1,
323,image_0323.jpg,0,0,1,1,1,1,1,1,1,
324,image_0324.jpg,0,1,1,1,1,1,1,1,1,
325,image_0325.jpg,0,1,1,1,1,1,1,1,1,
326,image_0326.jpg,0,1,1,1,1,1,1,1,1,
327,image_0327.jpg,0,1,1,1,1,1,1,1,1,
328,image_0328.jpg,0,1,1,1,1,1,1,2,1,
329,image_0329.jpg,0,1,1,1,1,1,1,1,1,
330,image_0330.jpg,0,1,1,1,1,1,1,1,1,
331,image_0331.jpg,0,1,1,1,1,1,1,1,1,
332,image_0332.jpg,0,1,1,1,1,1,1,1,1,
333,image_0333.jpg,0,1,1,1,1,1,1,1,1,
334,image_0334.jpg,1,0,1,1,1,1,1,1,1,
335,image_0335.jpg,1,0,1,1,1,1,1,1,1,
336,image_0336.jpg,1,0,1,1,1,1,1,1,1,
337,image_0337.jpg,1,0,1,1,1,1,1,2,1,
338,image_0338.jpg,1,0,1,1,1,1,2,3,1,
339,image_0339.jpg,0,1,1,1,1,1,1,1,1,
340,image_0340.jpg,0,1,1,1,1,1,1,1,1,
341,image_0341.jpg,0,1,1,1,1,1,1,1,1,
342,image_0342.jpg,0,1,1,1,1,1,1,1,1,
343,image_0343.jpg,0,1,1,1,1,1,1,1,1,
344,image_0344.jpg,0,1,1,1,1,1,1,1,1,
345,image_0345.jpg,0,1,1,1,1,1,1,1,1,
346,image_0346.jpg,0,1,1,3,1,1,1,1,1,
347,image_0347.jpg,0,1,1,1,1,1,1,1,1,
348,image_0348.jpg,0,1,1,1,1,1,1,1,1,
349,image_0349.jpg,0,1,1,1,1,1,1,1,1,
350,image_0350.jpg,0,1,1,1,1,1,1,1,1,
351,image_0351.jpg,0,1,1,1,1,1,1,1,1,
352,image_0352.jpg,0,1,1,1,1,1,1,1,1,
353,image_0353.jpg,0,1,1,1,1,1,1,1,1,
354,image_0354.jpg,0,1,1,1,1,1,1,1,1,
355,image_0355.jpg,0,1,1,1,1,1,1,1,1,
356,image_0356.jpg,1,1,1,1,1,1,1,1,1,
357,image_0357.jpg,0,1,1,1,1,1,1,1,1,
358,image_0358.jpg,0,1,1,1,1,1,1,1,1,
359,image_0359.jpg,0,1,1,1,1,1,1,2,1,
360,image_0360.jpg,1,1,1,1,1,1,1,2,1,
361,image_0361.jpg,0,1,1,1,1,1,1,2,1,
362,image_0362.jpg,0,1,1,1,1,1,1,1,1,
363,image_0363.jpg,0,1,1,1,1,1,1,1,1,
364,image_0364.jpg,1,1,1,1,1,1,1,1,1,
365,image_0365.jpg,0,1,1,1,1,1,1,1,1,
366,image_0366.jpg,0,1,1,1,1,1,1,1,1,
367,image_0367.jpg,1,0,1,1,1,1,1,1,1,
368,image_0368.jpg,1,0,1,1,1,1,1,1,1,
369,image_0369.jpg,1,0,1,1,1,1,1,1,1,
370,image_0370.jpg,1,0,1,1,1,1,1,2,1,
371,image_0371.jpg,1,0,1,1,1,1,1,1,1,
372,image_0372.jpg,1,0,1,1,1,1,1,1,1,
373,image_0373.jpg,1,0,1,1,1,1,1,1,1,
374,image_0374.jpg,0,1,1,1,1,1,1,1,1,
375,image_0375.jpg,0,1,1,1,1,1,1,1,1,
376,image_0376.jpg,0,1,1,1,1,1,1,1,1,
377,image_0377.jpg,0,1,1,1,1,1,1,1,1,
378,image_0378.jpg,0,1,1,1,1,1,1,1,1,
379,image_0379.jpg,0,1,1,1,1,1,1,1,1,
380,image_0380.jpg,0,1,1,1,1,1,1,1,1,
381,image_0381.jpg,0,1,1,1,1,1,1,1,1,
382,image_0382.jpg,0,1,1,1,1,1,1,1,1,
383,image_0383.jpg,0,1,1,1,1,1,1,1,1,
384,image_0384.jpg,0,1,1,1,1,1,1,1,1,
385,image_0385.jpg,1,1,1,1,1,1,1,1,1,
386,image_0386.jpg,0,1,1,1,1,1,1,1,1,
387,image_0387.jpg,1,1,1,1,1,1,1,1,1,
388,image_0388.jpg,1,1,1,1,1,1,1,1,1,
389,image_0389.jpg,1,1,1,1,1,1,1,1,1,
390,image_0390.jpg,1,1,1,1,1,1,1,1,1,
391,image_0391.jpg,1,1,1,1,1,1,1,4,1,
392,image_0392.jpg,0,0,1,1,1,1,1,4,1,
393,image_0393.jpg,0,0,1,1,1,1,1,2,1,
394,image_0394.jpg,1,1,1,1,1,1,1,2,1,
395,image_0395.jpg,1,1,1,1,1,1,1,1,1,
396,image_0396.jpg,1,1,1,1,1,1,1,3,1,
397,image_0397.jpg,1,1,1,1,1,1,1,1,1,
398,image_0398.jpg,0,0,1,1,1,1,1,1,1,
399,image_0399.jpg,0,0,1,1,1,1,1,2,1,
400,image_0400.jpg,0,1,1,1,1,1,1,1,1,
401,image_0401.jpg,0,1,1,1,1,1,1,2,1,
402,image_0402.jpg,1,1,1,1,1,1,1,2,1,
403,image_0403.jpg,0,0,1,1,1,1,1,1,1,
404,image_0404.jpg,0,0,1,1,1,1,1,1,1,
405,image_0405.jpg,0,1,1,1,1,1,1,1,1,
406,image_0406.jpg,0,1,1,1,1,1,1,1,1,
407,image_0407.jpg,0,1,1,1,1,1,1,1,1,
408,image_0408.jpg,0,0,1,1,1,1,1,1,1,
409,image_0409.jpg,0,0,1,1,1,1,1,1,1,
410,image_0410.jpg,0,0,1,1,1,1,1,1,1,
411,image_0411.jpg,0,0,1,1,1,1,1,3,1,
412,image_0412.jpg,0,0,1,1,1,1,1,2,1,
413,image_0413.jpg,0,0,1,1,1,1,1,3,1,
414,image_0414.jpg,0,0,1,1,1,1,1,3,1,
415,image_0415.jpg,1,0,1,1,1,1,1,3,1,
416,image_0416.jpg,0,0,1,1,1,1,1,2,1,
417,image_0417.jpg,1,0,1,1,1,1,1,4,1,
418,image_0418.jpg,0,0,1,1,1,1,1,3,1,
419,image_0419.jpg,0,0,1,1,1,1,1,4,1,
420,image_0420.jpg,0,0,1,1,1,1,1,3,1,
421,image_0421.jpg,0,0,1,1,1,1,1,1,1,
422,image_0422.jpg,0,0,1,1,1,1,1,1,1,
423,image_0423.jpg,0,0,1,1,1,1,1,2,1,
424,image_0424.jpg,0,0,1,1,1,1,1,2,1,
425,image_0425.jpg,0,1,1,1,1,1,1,3,1,
426,image_0426.jpg,0,0,1,1,1,1,1,2,1,
427,image_0427.jpg,0,0,1,1,1,1,1,1,1,
428,image_0428.jpg,1,0,1,1,1,1,1,2,1,
429,image_0429.jpg,1,0,1,1,1,1,1,2,1,
430,image_0430.jpg,1,0,1,1,1,1,1,1,1,
431,image_0431.jpg,0,1,1,1,1,1,1,1,1,
432,image_0432.jpg,1,1,1,1,1,1,1,1,1,
433,image_0433.jpg,1,1,1,1,1,1,1,1,1,
434,image_0434.jpg,0,0,1,1,1,1,1,2,1,
435,image_0435.jpg,0,0,1,1,1,1,1,1,1,
436,image_0436.jpg,0,1,1,1,1,1,1,1,1,
437,image_0437.jpg,1,1,1,1,1,1,1,1,1,
438,image_0438.jpg,1,1,1,1,1,1,1,1,1,
439,image_0439.jpg,1,1,1,1,1,1,1,1,1,
440,image_0440.jpg,0,0,1,1,1,1,1,1,1,
441,image_0441.jpg,0,1,1,1,1,1,1,1,1,
442,image_0442.jpg,0,0,1,1,1,1,1,1,1,
443,image_0443.jpg,0,0,1,1,1,1,1,2,1,
444,image_0444.jpg,0,0,1,1,1,1,1,1,1,
445,image_0445.jpg,0,0,1,1,1,1,1,1,1,
446,image_0446.jpg,0,0,1,1,1,1,1,1,1,
447,image_0447.jpg,0,0,1,1,1,1,1,1,1,
448,image_0448.jpg,0,0,1,1,1,1,1,1,1,
449,image_0449.jpg,1,1,1,1,1,1,1,1,1,
450,image_0450.jpg,1,1,1,1,1,1,1,1,1,
451,image_0451.jpg,0,0,1,1,1,1,1,1,1,
452,image_0452.jpg,0,0,1,1,1,1,1,1,1,
453,image_0453.jpg,0,1,1,1,1,1,1,1,1,
454,image_0454.jpg,0,1,1,1,1,1,1,1,1,
455,image_0455.jpg,0,1,1,1,1,1,1,1,1,
456,image_0456.jpg,0,1,1,1,1,1,1,1,1,
457,image_0457.jpg,0,1,1,1,1,1,1,1,1,
458,image_0458.jpg,0,1,1,1,1,1,1,1,1,
459,image_0459.jpg,0,1,1,1,1,1,1,1,1,
460,image_0460.jpg,0,1,1,1,1,1,1,1,1,
461,image_0461.jpg,0,1,1,1,1,1,1,1,1,
462,image_0462.jpg,0,1,1,1,1,1,1,1,1,
