Image_Num,Name,Visibility,Quality,Blur,Brightness,Noise,Contrast,Compression,Sharpness,Exposure,Equal_Weight_Score,Correlation_Weight_Score,RandomForest_Weight_Score,BRISQUE_Score,NIQE_Score,PIQE_Score
42,image_0042.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.31187889210135,29.5560444205887
43,image_0043.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.21656896993226,24.1932761009768
44,image_0044.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815654,5.2569008387025,48.9039882758758
45,image_0045.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,4.83796275312535,25.3284992722653
46,image_0046.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4536860195526,4.23205680209915,15.2542688673612
47,image_0047.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581821002153,5.09462533052316,24.3222581692811
48,image_0048.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.18182278762386,26.7060874530823
49,image_0049.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.34477079409858,20.2266451477259
50,image_0050.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,10.3708444261813,23.8011728225902
51,image_0051.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819828089,4.56951328618436,20.2813817583462
52,image_0052.jpg,1,1,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,37.8557531953053,3.01403570058197,18.171012561646
53,image_0053.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819822356,5.02048992592017,24.4100401080541
54,image_0054.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819839718,5.84215286151054,26.7986004754168
55,image_0055.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581822248707,4.78617092231967,24.8297879811016
56,image_0056.jpg,1,1,1,1,1,1,1,1,1,1,1,1,39.3388125332006,3.40259933168603,14.2445923190079
57,image_0057.jpg,0,1,1,1,1,1,1,1,1,1,1,1,40.0850335564203,3.36188066856356,14.550571787755
58,image_0058.jpg,0,1,1,1,1,1,1,1,1,1,1,1,38.3674521538199,2.85039406826918,16.6419730030135
59,image_0059.jpg,0,1,1,1,1,1,1,1,1,1,1,1,38.3544733026069,2.83247825842103,16.2941504487832
60,image_0060.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.26823259659742,27.9240208884075
61,image_0061.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.30939286903665,22.6218368558584
62,image_0062.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.458182096005,5.27515430140128,23.861571239871
63,image_0063.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.95940372445243,28.0338211453503
64,image_0064.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815673,5.86635611567916,28.6114885996665
65,image_0065.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581822322798,4.69935375856371,18.7134961282464
66,image_0066.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581823703245,4.9903637444602,19.4679140438773
67,image_0067.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581825598111,4.16103634567273,21.0631161457181
68,image_0068.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581893544226,3.99154846728202,20.0462990590162
69,image_0069.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.09633216003163,20.7803348140346
70,image_0070.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.20089133349818,24.8964904440334
71,image_0071.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815694,5.96965879510005,28.701020106533
72,image_0072.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815787,5.60954083648141,27.3631842093818
73,image_0073.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581823530913,4.1425579810742,21.9482412803347
74,image_0074.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.85313042826355,26.5326016364654
75,image_0075.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,8.89144463202345,30.2181891989867
76,image_0076.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815678,6.59261800661313,23.9545081977078
77,image_0077.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.15354042950099,29.1174295122292
78,image_0078.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819815664,6.6660206620559,27.7419855611916
79,image_0079.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.99048426162133,28.4596715629722
80,image_0080.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819816526,6.24868721455018,32.8806206027923
81,image_0081.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819876526,4.46066271151841,22.7138087910258
82,image_0082.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581813499982,3.7213416824632,23.0335659119714
83,image_0083.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.1066729663883,3.48349431948955,20.2562760437335
84,image_0084.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819816093,4.63769815638505,21.7855332306103
85,image_0085.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4556206387207,3.53735748984087,20.3619516992566
86,image_0086.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581827274296,4.79733690903109,30.4036480235679
87,image_0087.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819816227,14.3161687413619,39.53466262053
88,image_0088.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4571183565931,3.53710200504683,23.5564354958818
89,image_0089.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819820704,18.2924107882277,41.2987235238344
90,image_0090.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581823838931,3.85888880491767,23.73280569159
91,image_0091.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4067525390592,3.84009601545002,18.7742078512879
92,image_0092.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815719,4.929284149249,32.1140024741143
93,image_0093.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.2769994162914,3.34644839350413,19.349428601772
94,image_0094.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4554380710718,3.90411113083926,18.8970256118587
95,image_0095.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4579374983575,3.64328777603623,20.8630974922047
96,image_0096.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581822117746,3.68907744383042,22.1818398655497
97,image_0097.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4477061319781,3.65032213342509,19.9582976860031
98,image_0098.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4578550378617,3.44509702670884,19.9787577147474
99,image_0099.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4579421029744,3.73230644145567,21.5222196627785
100,image_0100.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581811697388,4.09250107172595,21.7968812961448
101,image_0101.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4571495142166,3.48475185269131,21.4855592460131
102,image_0102.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581785749943,3.9112658025887,21.4462356488208
103,image_0103.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.43964545388922,26.4539280157222
104,image_0104.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819815664,8.19205358977049,28.6468841771569
105,image_0105.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581868729122,4.48808477865483,29.13334278626
106,image_0106.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581745133887,4.26926488725131,19.5748142115103
107,image_0107.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.2673862971588,3.84786928124368,17.2099450077302
108,image_0108.jpg,0,1,1,1,1,1,1,1,1,1,1,1,35.3763195083391,3.17764285345477,17.9637452773118
109,image_0109.jpg,0,0,1,1,1,1,1,1,1,1,1,1,36.4533769879888,3.44727899943455,16.9623581383418
110,image_0110.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820285823,4.06937464384008,21.4789618606422
111,image_0111.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820059432,4.4729961690754,22.5245833768021
112,image_0112.jpg,1,1,1,1,1,1,1,1,1,1,1,1,39.2839456046432,3.32196284106189,18.0259807074115
113,image_0113.jpg,0,1,1,1,1,1,1,1,1,1,1,1,36.922908263214,3.16688148019936,19.2887044500517
114,image_0114.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.458182025814,4.46789027653888,21.7038346797722
115,image_0115.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819818212,7.72617572202512,38.2468986039855
116,image_0116.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581863169845,3.85306393901686,30.7353687649044
117,image_0117.jpg,1,0,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,43.4579023557177,4.04336487638892,18.5658366276469
118,image_0118.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.17838245056654,22.189823945136
119,image_0119.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.458181983693,5.49204863460622,37.2723534163941
120,image_0120.jpg,1,0,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,43.4554888019563,3.86440971047552,17.5997387443903
121,image_0121.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.49565083957672,27.4179127767774
122,image_0122.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,4.68193800925303,20.0560768099039
123,image_0123.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.72390605591837,25.0783754925345
124,image_0124.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,10.2965782144816,31.4538201273889
125,image_0125.jpg,1,0,1,1,1,1,1,1,1,1,1,1,43.1212204905541,3.80648348575702,16.9550311959717
126,image_0126.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,10.5413137545631,32.2266983350456
127,image_0127.jpg,0,0,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,43.4581819899508,5.10332611665482,27.9020708911186
128,image_0128.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819924251,6.48515485640685,34.42155014569
129,image_0129.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.67284286048503,26.159951307338
130,image_0130.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,8.48995793954544,28.5332742045938
131,image_0131.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.60597635807082,25.8700745539932
132,image_0132.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581835972632,7.844819395745,40.2837524876403
133,image_0133.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,18.2401935346513,30.0242841250551
134,image_0134.jpg,1,0,1,3,1,1,1,1,1,1.285714286,1.249544452,1.331113697,39.9707139462334,3.76216676093178,18.0013034609991
135,image_0135.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,9.78024700476698,27.2491411097947
136,image_0136.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.40106582810978,19.0015884270054
137,image_0137.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,9.25544673962979,25.2538343617194
138,image_0138.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.6876616657151,23.4500886234236
139,image_0139.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.99905547410402,29.0137809172598
140,image_0140.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819856079,6.79769880459326,30.6682784601384
141,image_0141.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815776,6.60467806899003,29.1213511203878
142,image_0142.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815675,6.88792871635404,32.0645009230427
143,image_0143.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819832128,8.24146804061083,33.5016002196961
144,image_0144.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819815665,12.4585308166219,38.8612814873375
145,image_0145.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.5543830820695,28.1339581176039
146,image_0146.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819793887,4.73682560052404,19.265541939013
147,image_0147.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.3920565337114,30.2095844929329
148,image_0148.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4567249658171,3.92699523513167,21.4779828955295
149,image_0149.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815953,5.67672367817061,23.164524051915
150,image_0150.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581826252437,4.78576025514748,31.2014450491077
151,image_0151.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820891389,6.12084276884075,37.3953179077738
152,image_0152.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.458182003652,10.867916571178,42.2428972159805
153,image_0153.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820413519,6.44050076274537,35.6335745965368
154,image_0154.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,10.7934088527093,30.5566619788873
155,image_0155.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.51981232716721,29.2443807183874
156,image_0156.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.88569964783376,25.991488838467
157,image_0157.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4582021501533,6.20460526483522,35.7354087478122
158,image_0158.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581820232461,8.19364145223411,40.1234247935922
159,image_0159.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.2759734893433,3.71285064742897,20.70162038517
160,image_0160.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819891378,6.67890756249921,31.9388974979856
161,image_0161.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.04218704425773,28.9057773657445
162,image_0162.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.458181982167,4.80254217042317,23.5352661842053
163,image_0163.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.87849792002602,28.2530318195587
164,image_0164.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819815964,7.37131050198025,36.0220863279333
165,image_0165.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,7.03218813102831,34.8693230127338
166,image_0166.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.94925705815121,25.4310045960736
167,image_0167.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819820196,4.51797174758892,21.4960609460894
168,image_0168.jpg,1,0,1,1,1,1,1,1,1,1,1,1,39.2827562137146,3.8330725150131,17.2040424754033
169,image_0169.jpg,1,0,1,1,1,1,1,1,1,1,1,1,43.4582172579705,4.28254624168701,18.9098788820437
170,image_0170.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819828775,4.81696503625453,27.8579306234758
171,image_0171.jpg,1,0,1,1,1,1,1,1,1,1,1,1,43.4581819815689,5.69827564804209,24.0158599744622
172,image_0172.jpg,1,0,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.06867592845393,29.4741695398665
173,image_0173.jpg,1,0,1,1,1,1,1,2,1,1.142857143,1.176311122,1.147511786,40.9709847393111,3.65840246216259,14.5068262600357
174,image_0174.jpg,1,1,1,1,1,1,1,1,1,1,1,1,34.085761494818,3.7336805298707,22.1725661060928
175,image_0175.jpg,1,0,1,1,1,1,1,1,1,1,1,1,43.4581860371265,4.24729648842098,17.9995199100859
176,image_0176.jpg,1,0,1,1,1,1,1,1,1,1,1,1,43.4581828515293,4.19832220315204,17.637460091672
177,image_0177.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.24274300760523,28.4348656162442
178,image_0178.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819815664,5.39155709991973,30.8191848411938
179,image_0179.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.04613677490572,25.5935832256078
180,image_0180.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.458180823865,5.22833958590844,19.5892176686531
181,image_0181.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819817548,6.04774023862357,28.9628355361098
182,image_0182.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820880382,7.97338333444393,36.4739856370182
183,image_0183.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.458183583497,4.80289687681069,21.2801502507665
184,image_0184.jpg,1,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581819815664,5.63091379553671,30.8836620850741
185,image_0185.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.16646469026665,27.4692872168157
186,image_0186.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,6.342413488354,28.9569007297349
187,image_0187.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819822883,5.47775581149026,17.36537359387
188,image_0188.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819819448,5.48125899487984,17.1922504104051
189,image_0189.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581820145676,7.3218790751467,33.8135315924506
190,image_0190.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581819389469,4.78617802985071,19.5258140432271
191,image_0191.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581968284091,4.61478486071855,21.8025486338726
192,image_0192.jpg,1,1,1,1,1,1,1,1,1,1,1,1,43.4581820003057,5.02987116088988,18.1277598056714
193,image_0193.jpg,0,1,1,1,2,1,1,1,1,1.142857143,1.064502456,1.1641089,43.4581820814069,7.74908535777818,35.995301565943
194,image_0194.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819993532,6.84080651513118,31.7808331955631
195,image_0195.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581870158484,5.46470759834591,30.7894924243395
196,image_0196.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581833460643,4.77564276377867,26.202016620863
197,image_0197.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581819815664,5.53494290798025,21.4645494962631
198,image_0198.jpg,1,1,1,1,1,1,1,1,1,1,1,1,34.3422908338305,4.24456370368481,14.12350269465
199,image_0199.jpg,1,0,1,1,1,1,1,3,1,1.285714286,1.352622243,1.295023571,22.1535252034274,2.71198266442685,22.3429889312136
200,image_0200.jpg,0,1,1,1,1,1,1,1,1,1,1,1,27.4208872188188,3.08102530564074,13.2214212266663
201,image_0201.jpg,0,0,1,1,1,1,1,1,1,1,1,1,15.566244755894,3.05267545817531,16.5617494239185
202,image_0202.jpg,0,0,1,1,1,1,1,1,1,1,1,1,41.4916289197623,4.60401230868363,18.0161511204659
203,image_0203.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4581820330443,8.89479109176544,37.5115859064166
204,image_0204.jpg,0,1,1,1,1,1,1,1,1,1,1,1,31.4986672958104,3.42059570630098,12.8120757982476
205,image_0205.jpg,0,1,1,1,1,1,1,1,1,1,1,1,31.620768485856,3.45511293177789,13.1116554557012
206,image_0206.jpg,0,1,1,1,1,1,1,1,1,1,1,1,31.8686935675743,3.44603136548748,16.6412815882192
207,image_0207.jpg,0,0,1,1,1,1,1,1,1,1,1,1,25.4786928856918,3.54077889666919,22.5531123738125
208,image_0208.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.458185094851,4.6827674712015,32.1733092501857
209,image_0209.jpg,0,1,1,1,1,1,1,1,1,1,1,1,21.7264002398765,3.16983025393193,10.0977402066389
210,image_0210.jpg,0,0,1,1,1,1,1,2,1,1.142857143,1.176311122,1.147511786,29.1624329826302,5.02861134863361,8.2064718838324
211,image_0211.jpg,0,1,1,1,1,1,1,1,1,1,1,1,33.232614936781,4.12912936369954,12.2506119149568
212,image_0212.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581918441982,4.81838356177306,27.8849570614051
213,image_0213.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.460226847248,3.8898649398564,28.1759630077227
214,image_0214.jpg,0,0,1,2,1,1,1,1,1,1.142857143,1.124772226,1.165556848,43.4581819815669,7.21820631472241,32.7695381705796
215,image_0215.jpg,0,0,1,2,1,1,1,4,1,1.571428571,1.653705591,1.608092205,43.3992780855078,4.24481136918286,34.2444272457548
216,image_0216.jpg,0,1,1,1,1,1,1,1,1,1,1,1,34.9676837053929,4.21882114320904,13.5959704350985
217,image_0217.jpg,0,1,1,1,1,1,1,1,1,1,1,1,40.0510098611177,4.34692546230263,12.4526609581364
218,image_0218.jpg,0,0,1,1,1,1,1,1,1,1,1,1,29.7543984267445,3.78919580068631,10.7569153914055
219,image_0219.jpg,0,1,1,1,1,1,1,1,1,1,1,1,25.6974896861674,4.0110768018645,16.3794934579455
220,image_0220.jpg,0,1,1,1,1,1,1,1,1,1,1,1,28.3461296047079,3.26023166004142,23.6721006182634
221,image_0221.jpg,0,1,1,1,1,1,1,1,1,1,1,1,15.4916226238007,3.22525467563021,23.2951720455274
222,image_0222.jpg,0,1,1,1,1,1,1,1,1,1,1,1,43.4581878056493,5.10315446972025,20.688627039967
223,image_0223.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4590082136508,4.14791938730995,29.4196434054421
224,image_0224.jpg,0,1,1,1,1,1,1,1,1,1,1,1,40.7579506317877,3.29077928220947,34.2925841137586
225,image_0225.jpg,0,1,1,1,1,1,1,1,1,1,1,1,33.3093541914359,3.19197865670448,13.4702172538651
226,image_0226.jpg,0,0,1,1,1,1,1,1,1,1,1,1,43.4576111879396,4.24514678083473,14.3769338942522
227,image_0227.jpg,0,1,1,1,1,1,1,1,1,1,1,1,23.3126796157064,3.72444707953222,17.6840336327989
228,image_0228.jpg,0,1,1,1,1,1,1,1,1,1,1,1,21.3421760357827,4.0691581867619,14.8712916245892
